,dtype,missing,unique,missing_pct
customerID,object,0,7043,0.0
gender,object,0,2,0.0
SeniorCitizen,int64,0,2,0.0
Partner,object,0,2,0.0
Dependents,object,0,2,0.0
tenure,int64,0,73,0.0
PhoneService,object,0,2,0.0
MultipleLines,object,0,3,0.0
InternetService,object,0,3,0.0
OnlineSecurity,object,0,3,0.0
OnlineBackup,object,0,3,0.0
DeviceProtection,object,0,3,0.0
TechSupport,object,0,3,0.0
StreamingTV,object,0,3,0.0
StreamingMovies,object,0,3,0.0
Contract,object,0,3,0.0
PaperlessBilling,object,0,2,0.0
PaymentMethod,object,0,4,0.0
MonthlyCharges,float64,0,1585,0.0
TotalCharges,float64,11,6530,0.1561834445548772
Churn,object,0,2,0.0
